Date,Open,High,Low,Close,Volume,Change Pct
2005-02-18,27223.0,27750.0,27120.0,27223.0,116,-49.31
2005-02-21,27440.0,27570.0,27200.0,27297.0,60,0.27
2005-02-22,27000.0,27750.0,26920.0,26988.0,221,-1.13
2005-02-23,27350.0,27500.0,27230.0,27488.0,76,1.85
2005-02-24,27900.0,28570.0,27900.0,28800.0,354,4.77
2005-02-25,28850.0,29250.0,28680.0,28802.0,431,0.01
2005-02-28,28900.0,28900.0,28180.0,28447.0,299,-1.23
2005-03-01,28200.0,28320.0,27950.0,28033.0,237,-1.46
2005-03-02,27850.0,28550.0,27685.0,28529.0,471,1.77
2005-03-03,28600.0,29160.0,28600.0,28995.0,715,1.63
2005-03-04,28850.0,29540.0,28600.0,29505.0,621,1.76
2005-03-07,29450.0,29940.0,29450.0,29765.0,295,0.88
2005-03-08,29570.0,29570.0,29100.0,29303.0,366,-1.55
2005-03-09,29350.0,29350.0,28600.0,28674.0,315,-2.15
2005-03-10,28600.0,28800.0,28250.0,28764.0,355,0.31
2005-03-11,28940.0,29250.0,28200.0,28268.0,463,-1.72
2005-03-14,28100.0,28350.0,27900.0,28319.0,380,0.18
2005-03-15,28400.0,28500.0,27600.0,27774.0,296,-1.92
2005-03-16,27800.0,27910.0,27380.0,27830.0,186,0.2
2005-03-17,27450.0,28350.0,27360.0,28259.0,256,1.54
2005-03-18,28200.0,28200.0,27600.0,27646.0,71,-2.17
2005-03-21,27650.0,27650.0,27140.0,27580.0,65,-0.24
2005-03-22,27450.0,27960.0,26480.0,26576.0,218,-3.64
2005-03-23,26650.0,26700.0,26100.0,26280.0,286,-1.11
2005-03-24,26600.0,27000.0,26510.0,26583.0,350,1.15
2005-03-28,26600.0,26620.0,26170.0,26229.0,126,-1.33
2005-03-29,26050.0,26530.0,25800.0,25829.0,272,-1.53
2005-03-30,26000.0,26450.0,26000.0,26417.0,249,2.28
2005-03-31,26350.0,26780.0,26290.0,26698.0,367,1.06
2005-04-01,26750.0,27250.0,26680.0,26842.0,172,0.54
2005-04-04,26460.0,26580.0,26240.0,26361.0,126,-1.79
2005-04-05,26530.0,26700.0,25900.0,25959.0,545,-1.52
2005-04-06,26120.0,26200.0,25500.0,25599.0,121,-1.39
2005-04-07,25650.0,26270.0,25650.0,26243.0,225,2.52
2005-04-08,26250.0,26250.0,25850.0,25807.0,122,-1.66
2005-04-11,25820.0,25940.0,25700.0,25884.0,115,0.3
2005-04-12,25700.0,26300.0,25650.0,26200.0,132,1.22
2005-04-13,26330.0,26430.0,26200.0,26211.0,0,0.04
2005-04-14,26400.0,26500.0,25250.0,25350.0,208,-3.28
2005-04-15,25200.0,25450.0,24910.0,25006.0,178,-1.36
2005-04-18,24860.0,25330.0,24750.0,25210.0,493,0.82
2005-04-19,25300.0,25940.0,25300.0,25858.0,454,2.57
2005-04-20,26050.0,26100.0,25350.0,25375.0,400,-1.87
2005-04-22,25780.0,25840.0,25100.0,25090.0,117,-1.12
2005-04-25,25250.0,25640.0,25200.0,25603.0,132,2.04
2005-04-26,25450.0,25940.0,25400.0,25690.0,211,0.34
2005-04-27,25500.0,25650.0,25300.0,25634.0,89,-0.22
2005-04-28,25400.0,25410.0,24600.0,24712.0,199,-3.6
2005-04-29,24850.0,25010.0,24400.0,24904.0,112,0.78
2005-05-02,25010.0,25010.0,24600.0,24984.0,117,0.32
2005-05-03,24860.0,25150.0,24730.0,24859.0,129,-0.5
2005-05-04,25200.0,25800.0,25130.0,25798.0,284,3.78
2005-05-05,25700.0,26000.0,25470.0,25648.0,363,-0.58
2005-05-06,25900.0,26140.0,25750.0,25907.0,166,1.01
2005-05-09,25770.0,25900.0,25590.0,25708.0,95,-0.77
2005-05-10,25750.0,25750.0,24870.0,24950.0,143,-2.95
2005-05-11,25050.0,25070.0,24550.0,24968.0,166,0.07
2005-05-12,25160.0,25200.0,24230.0,24278.0,157,-2.76
2005-05-13,24300.0,24430.0,23910.0,24126.0,73,-0.63
2005-05-16,24000.0,24660.0,24000.0,24608.0,68,2.0
2005-05-17,24500.0,24750.0,24200.0,24688.0,116,0.33
2005-05-18,24650.0,25150.0,24650.0,25134.0,234,1.81
2005-05-19,24750.0,25050.0,24740.0,25015.0,101,-0.47
2005-05-20,25000.0,25000.0,24680.0,24755.0,92,-1.04
2005-05-23,24850.0,24850.0,24350.0,24400.0,90,-1.43
2005-05-24,24200.0,24710.0,24110.0,24731.0,109,1.36
2005-05-25,24600.0,24840.0,24520.0,24688.0,93,-0.17
2005-05-27,24930.0,25500.0,24930.0,25456.0,68,3.11
2005-05-30,20.0,20.0,20.0,25599.0,211,0.56
2005-05-31,25550.0,25795.0,25340.0,25491.0,181,-0.42
2005-06-01,25480.0,26150.0,25450.0,26093.0,167,2.36
2005-06-02,26200.0,26880.0,26200.0,26765.0,199,2.58
2005-06-03,26760.0,26960.0,26320.0,26527.0,137,-0.89
2005-06-06,26120.0,26155.0,25150.0,25617.0,202,-3.43
2005-06-07,25400.0,25500.0,25050.0,25127.0,170,-1.91
2005-06-08,25500.0,25500.0,24650.0,24742.0,256,-1.53
2005-06-09,24350.0,24620.0,24205.0,24486.0,157,-1.03
2005-06-10,24800.0,25050.0,24750.0,24977.0,167,2.01
2005-06-13,25000.0,25330.0,24770.0,24873.0,190,-0.42
